id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4534869407311618,JeD6YuG5k,2627267863,美丽三江,南京港出入境边检站：一千公里的爱心传递助广西三江县具盘村脱贫致富独峒镇具盘村，这个坐落在广西贵州交界深山里的美丽乡村，是南京港出入境边检站的扶贫对象。2019年以来，南京港站创新推出“村民任辅警”就业扶贫双赢举措，全力援建具盘村太阳能路灯项目、跑山鸡养殖基地、学校图书室加盖工程等造福村民群众，同时安排一名师范专业女民警赴三江支教，为具盘村进行基础扶贫、产业扶贫和智力扶贫，全方位带动具盘村整体又好又快发展。O南京港出入境边检站：一千公里的爱心传递助广西三江县具盘村脱贫致富,,,,,0,0,0,2020-08-06 10:23,微博 weibo.com,"['http://ww1.sinaimg.cn/large/9c98ed17gy1ghgvo2ouxij20go0b4wfg.jpg', 'http://ww3.sinaimg.cn/large/9c98ed17gy1ghgvo1rsf7j20go0b4my5.jpg']",,
4498655622521698,IFotYaA0y,2627267863,美丽三江,【国家移民管理局】精准扶贫情暖三江“我穿上警服了，今天正式上岗！”4月27日，来自广西壮族自治区柳州市三江侗族自治县独峒镇具盘村的吴治额通过视频和远在广西的表哥聊道，伴着习习江风，欢声笑语飘向了远方。2020年4月27日，南京港出入境边检站广西籍辅警吴治额利用在码头参观间隙，和远在广西的家人视频聊天，介绍工作环境，与小伙伴们一起分享喜悦。原来，这是江苏南京港出入境边防检查站在对广西三江县独峒镇具盘村帮助销售特色农畜产品、改造教学楼、结对帮扶贫困生和支教等扶贫措施下的又一创新举措——就业扶贫。O【国家移民管理局】精准扶贫情暖三江,,,,,0,0,0,2020-04-28 12:02,微博 weibo.com,"['http://ww1.sinaimg.cn/large/9c98ed17gy1ge9ckmxfo0j20u00k00v8.jpg', 'http://ww1.sinaimg.cn/large/9c98ed17gy1ge9ckmva2qj20u00k040b.jpg']",,
4498237408492804,IFdBqzDmI,6929716472,国家移民管理局,#NIA扶贫攻坚#【就业扶贫！南京港边检辅警岗位有了新面孔】4月9日、23日，来自广西三江侗族自治县具盘村的12名男青年分两批抵达南京。他们在接受14天的隔离观察并参加入职培训后，将成为江苏南京港出入境边防检查站的辅警。这是南京港边检站通过调研，针对就业扶贫需求和内部警力不足两方面因素，推出的“村民当辅警”创新举措。L国家移民管理局的微博视频,,,,NIA扶贫攻坚,4,4,15,2020-04-27 08:20,微博视频,,"http://f.video.weibocdn.com/aD0GzIVWlx07COIyZYkU01041200lSaf0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1602599417&ssig=VlUM3MkJYx&KID=unistore,video",
4498539960762474,IFltq3clY,1309393457,星空移民,转发微博,,,,,0,0,0,2020-04-28 04:22,HUAWEI Mate 30 Pro,,,4498237408492804
4498405600137220,IFhYI0zHe,6181342591,用户6181342591,【媒体聚焦南京港边检扶贫工作】[玫瑰][玫瑰][抱拳][抱拳],,,,,0,0,0,2020-04-27 19:28,微博小程序,,,4498237408492804
4498253335189341,IFe17lLZ3,7402295259,魏晋的稻谷都在往西飞,转发微博,,,,,0,0,0,2020-04-27 09:23,魅族 PRO 6 Plus,,,4498237408492804
4498242198751772,IFdJ9AIJC,2642745360,吉林出入境,转发微博,,,,,0,0,0,2020-04-27 08:39,iPhone客户端,,,4498237408492804
4318964915935681,H7XmzoU8N,5993724278,南京港华燃气企业微博,慈善一日捐、济困送温暖近日，南京港华燃气有限公司工会通过“慈善一日捐，济困送温暖”的活动向玄武区慈善协会捐款5000元，帮助社会困难群体度过欢乐祥和的元旦和新春佳节。真情延续生命，爱心点燃希望。这次捐款活动，体现了南京港华人对社会困难群体的温情与关怀。涓涓细流，汇成江海。我们再次感谢每一位员工的爱心和祝福，愿我们的爱心暖流，能扶贫济困，帮助到更多需要帮助的人。,,,,,0,0,0,2018-12-19 15:35,微博 HTML5 版,,,
4217400738475987,G7iFHzyZt,5872759438,遗风股道,简单回顾下昨日市场的盘面近期暴热的工业互联网、独角兽、次新股和雄安个股大跌，如小米概念股普路通跌停，云从科技概念股佳都股份逼近跌停，蚂蚁金服概念股合肥城建大跌近8%，富士康概念股安彩高科大跌近8%，雄安的中设股份大跌近8%，前次新人气股南京聚隆跌6%以上，工业互联网二龙头东土科技跌幅近6%；盘面资金试图从低位板块中突破，一度拉升了软件股中国软件、新疆扶贫方向的北新路桥、水路港口的南京港，结果纷纷炸板，使得整个板块冲高回落！昨天市场整体处于弱势调整，炒作凌乱的格局！#大盘##创业板#,,,,"大盘,创业板",0,0,0,2018-03-14 09:15,搜狗高速浏览器,,,
4217400624715303,G7iFwjMFh,6452632129,个股期权-小小二,简单回顾下昨日市场的盘面近期暴热的工业互联网、独角兽、次新股和雄安个股大跌，如小米概念股普路通跌停，云从科技概念股佳都股份逼近跌停，蚂蚁金服概念股合肥城建大跌近8%，富士康概念股安彩高科大跌近8%，雄安的中设股份大跌近8%，前次新人气股南京聚隆跌6%以上，工业互联网二龙头东土科技跌幅近6%；盘面资金试图从低位板块中突破，一度拉升了软件股中国软件、新疆扶贫方向的北新路桥、水路港口的南京港，结果纷纷炸板，使得整个板块冲高回落！昨天市场整体处于弱势调整，炒作凌乱的格局,,,,,0,0,0,2018-03-14 09:15,微博 weibo.com,,,
