id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4504211599334459,J1LyTDajN,3768664027,晓航股海,屌丝复盘2020.5.13周三您的关注是对我最大的支持一、消费内需1、医药医疗：片仔癀、长春高新、恒瑞医药、泰格医药、凯莱英、我武生物、药明康德、迈瑞医疗、药房（大参林、益丰药房、老百姓）、司太立、凯利泰、欧普康视、山东药玻、三诺生物、康德莱、大博医疗等等；2、白酒：贵州茅台、五粮液、山西汾酒、今世缘、泸州老窖、舍得酒业、古井贡酒等；3、奶制品：光明乳业、妙可蓝多、伊利股份、新乳业等；4、家电：新宝股份、老板电器、格力电器、小熊电器、三花智控、九阳股份、金莱特等；5、调味品：天味食品、海天味业、恒顺醋业、千禾味业、中炬高新等；6、食品加工：洽洽食品、良品铺子、三只松鼠、三全食品、双汇发展、涪陵榨菜、金字火腿、克明面业、煌上煌、龙大肉食、盐津铺子、西麦食品、安琪酵母、安井食品、桃李面包、来伊份、加加食品（暴雷）等；7、化妆品：御家汇、珀莱雅、上海家化等；8、家居：质邦家居、江山欧派、金牌橱柜、喜临门、大亚圣象、顾家家居、欧派家居、帝欧家居、索菲亚等；9、汽车：中国重汽、长安汽车、广汽集团、上汽集团、长城汽车等。下面附上笔者的消费内需自选股，希望对大家有用。资金选择消费内需方向的深层逻辑反复赘述，一切从疫情当下，经济刺激的实际情况出发，具体参考屌丝复盘2020.5.8周五。昨日复盘预期今天分化，等低吸机会，涨了要卖。今日盘面表现比预期强势的多，细分行业（1-7，主流）今天全面爆发，有点主升浪高潮的意思。笔者反复重申看好消费内需方向，但操作上，仍不建议追着买，消费内需方向不同于一般的主题投资炒作，主要是资金抱团的趋势打法，只要低吸大概率会有肉。但追着买，很容易站山岗。此方向重点阐述相关逻辑，个股数量极其庞大，笔者不做单独推荐。二、科技（1）半导体芯片：中微公司、晶盛机电、中环股份、紫光国微、圣邦股份、北方华创、长电科技、华天科技、通富微电、兆易创新、卓盛微（2）光刻胶：同益股份（反包未封板）、晶瑞股份、江化微等（3）5G：中兴通讯、新易盛、中际旭创、光迅科技等（4）消费电子：漫步者、立讯精密、欧菲光、信维通信等（5）国产软件、服务器、存储：华胜天成、中国软件、浪潮信息、紫光股份、紫光国微、中科曙光等今日多条分支线均有所表现，第一，同益股份有资金做反包，带动光刻胶反弹一波；第二，中环股份等半导体上游材料，带了芯片走了一波；第三，圣邦股份、紫光国微等带了一波。每一个龙头带动，都有不少的跟风盘，板块弹性很好，但是三波带动，资金都没有打出足够的高度，信心不足，估计也是忌惮消费内需资金分流的问题。晚上中芯国际公布一季度业绩，收入9.05亿美元，同比增长35.3%，营收创季度新高，对板块有一定的提振作用，明日继续重点关注科技方向。三、疫情线相关个股：疫苗：未名医药（3板）检测试剂（大跌）：明德生物、迈克生物、达安基因、昌红科技、华大基因等疫苗瓶：正川股份（4板，庄股）口罩：泰达股份、奥美医疗、振德医疗、南卫股份未名医药今日3连板，创历史新高，已经4波主升浪，新冠疫苗想象空间巨大，但最受益的是哪个，现在谁也不知道。妖股，靠信仰生存，笔者已经理解不了，当个市场情绪指标对待。检测试剂昨日大涨今日大跌，口罩方面昨日南卫股份，今日切换到泰达股份，资金高位接力意愿很差。至于正川股份，典型的一庄股，去年11月崩盘记忆犹新。疫情线有多条分支，多数叠加医疗医药线（内需消费），如果非要做个区分，可以根据资金的打法不同做选择，消费内需那条线更多的是抱团走趋势，疫情这边更多的是游资手法，频繁大涨大跌走势。相比之下，笔者更愿意选择大资金抱团走趋势的医疗个股。四、军工相关个股：轴研科技（6连板）、江龙船艇、中航沈飞、航空发动机三兄弟等。相关逻辑：军费+业绩+边缘政治深层逻辑参考屌丝复盘2020.5.8周五板块前面表现多日，到了该调整的时候，轴研科技6连板，走个股行情，延迟了板块的调整，后期继续等待低吸机会，不要忘记，近期市场是轮动的行情，消费内需如果调整，出来的资金总需要去处。重点等待华伍股份、中航沈飞、中兵红箭、航空发动机三兄弟的低吸机会。五、网红经济与农业电商网红经济相关个股：省广集团（1+1+2板）、梦洁股份（3板）、御家汇（2板趋势叠加消费内需）、供销大集（1板叠加农业电商）农业电商相关个股：供销大集（1板）、金健米业、新农开发（-9.53%）相关逻辑：扶贫攻坚+蝗虫减产+疫情粮食危机+大哥支持农村直播带货之所以两个板块放一块分析，其实本质上都是网红经济，农业电商本身有深层次的逻辑在里面，网红经济板块有点各自为战的意思，联动性不是很强。农业电商方面，金健米业早盘最高3个多点，未摸板，低于预期，供销大集卡位，也没带起人气，板块短期调整概率偏大，调后还是值得重点关注。大哥主张农业直播带货，估计大概率会进入两会议程。六、新基建——特高压；老基建（1）特高压相关个股：保变电气、平高电气、汉缆股份、神马电力（庄股）、国电南自等盘中有资金尝试打出人气，奈何消费内需方向对资金虹吸效应太明显，老妖保变电气封板，前期人气龙头汉缆股份、国电南自、中国西电均冲高回落，伤了板块人气。（2）老基建相关个股：建筑装饰：建研院、亚夏股份、宁波建工等高铁：新筑股份、晋亿实业等盘中资金尝试切换，跟新基建特高压一个路子，只是操作上更加猥琐，力度大大弱于特高压。在没有切换成功的情况下，反而成了好事，明天抛压上特高压会更重一些。短线性价比老基建更占优。继续关注老基建高铁方向，注意晋亿实业的低吸。七、次新股华昌达强势7连板，成了独苗，还是那句话，当成盘面人气指标股看就可以。综合，股票池：纯内需消费+新基建、老基建+军工。操作上，缺少增量资金，板块轮动，低吸必胜，追高必死。明日重点关注科技方向。免责声明：本订阅号发布的文章仅代表本订阅号个人观点。不对任何人构成个股推荐和买卖建议。本订阅号所载资料的准确性、可靠性、时效性、完整性不作任何明示或暗示的保证。请结合自身风险承受能力进行股市投资。股市有风险，入市需谨慎。,,,,,2,0,1,2020-05-13 19:59,360安全浏览器,,,
4483570615949748,Iz43joXNG,3511731577,陕西党建网,【#陕西#1200亿元应急专项融资加快推进】陕西1200亿元应急专项融资加快推进。截止3月10日，国家开发银行陕西省分行、中国进出口银行陕西省分行、中国农业发展银行陕西省分行，三家政策性银行已与陕西979个项目展开融资对接，涉及融资需求2035.73亿元；有317个项目快速进入银行办贷环节，计划融资金额816.02亿元。其中，国开行陕西分行为宝鸡至坪坎高速公路，西安地铁5号线、6号线，延长油田伴生气资源循环利用、安康恒口示范区工业产业园等省市重大项目发放贷款95.6亿元。进出口银行陕西分行为陕煤蒲城清洁能源、西安华天科技、大唐发电、空港新城、海升果业等重点项目单位发放贷款44亿元，为疫情防控和复工复产提供优惠利率的资金支持。农发行陕西分行聚焦农业农村、扶贫攻坚领域，已为秦川乳业、陕西天谷药业、榆林绿能新能源、陕西果业等重点项目单位发放贷款10.39亿元；开展调查评估项目50个，涉及水利建设、农村基础建设、农村人居环境建设、污染防治与生态建设等民生重点领域。（记者：赵辉 刘权锋）,,,,陕西,0,0,0,2020-03-17 20:59,iPhone客户端,,,
4483532556861650,Iz33VsN1M,3229962754,陕视新闻,【#陕西#1200亿元应急专项融资加快推进】陕西1200亿元应急专项融资加快推进。截止3月10日，国家开发银行陕西省分行、中国进出口银行陕西省分行、中国农业发展银行陕西省分行，三家政策性银行已与陕西979个项目展开融资对接，涉及融资需求2035.73亿元；有317个项目快速进入银行办贷环节，计划融资金额816.02亿元。其中，国开行陕西分行为宝鸡至坪坎高速公路，西安地铁5号线、6号线，延长油田伴生气资源循环利用、安康恒口示范区工业产业园等省市重大项目发放贷款95.6亿元。进出口银行陕西分行为陕煤蒲城清洁能源、西安华天科技、大唐发电、空港新城、海升果业等重点项目单位发放贷款44亿元，为疫情防控和复工复产提供优惠利率的资金支持。农发行陕西分行聚焦农业农村、扶贫攻坚领域，已为秦川乳业、陕西天谷药业、榆林绿能新能源、陕西果业等重点项目单位发放贷款10.39亿元；开展调查评估项目50个，涉及水利建设、农村基础建设、农村人居环境建设、污染防治与生态建设等民生重点领域。（记者：赵辉 刘权锋）,,,,陕西,2,3,8,2020-03-17 18:28,360安全浏览器,['http://ww1.sinaimg.cn/large/c0855202ly1gcx3po6c5fj20u00u0k6w.jpg'],,
4474911064291935,IvqMii0wL,5915408486,211校招网,西安发布报道西安与陕南三市跨区域网上招聘活动【西安网络招聘会火爆上线线上访问量突破57万人次】为了全力保障企业复工复产，西安市人社局等部门举行网络招聘会，帮助解决企业用工难题。21日，西安与陕南三市跨区域网上招聘活动成功举办。中兴通讯、比亚迪、金花集团、华天科技、蓝晓科技等一大批知名企业线上招聘。金花企业(集团)股份有限公司西安金花制药厂人事经理郭军平对记者介绍，企业已于2月6日复工，但由于很多员工不能及时返回，导致百人左右的用工缺口，生产线没法开全。昨天的网络招聘会一下子收到了近200份简历，效果还是不错的，今天就会把简历进行筛选反馈给部门，然后电话联系符合条件的求职者做进一步沟通。唯一不确定的因素就是因为是药厂，对于员工身体健康条件有要求，目前，体检机构没有开门，可能会影响新员工上岗时间。同样，西安蓝晓科技新材料股份有限公司也正在为工厂复工做着积极的准备工作。蓝晓科技今年计划招聘100人，除了30个生产岗位，其他为销售、研发等岗位。到昨天，已经参加了3场网络招聘会，总共收到100多份简历，公司正在做好各项准备，争取最快时间复工。经统计，截至21日17：00，“西安--陕南三市就业扶贫协作2020年春季跨区域网络视频招聘会”，共有268家企业参加，提供岗位28816个，达成初步就业意向1472人次。截至2月21日，西安市人社局共组织3168家企业开展线上求职招聘活动89场（次），发布岗位信息146716条，线上访问量达574851人（次），达成就业意向22889人（次）。（西安报业全媒体记者顾荣）,,,,,0,0,0,2020-02-22 23:29,华为手机 畅享玩不停,,,
4474900229683808,IvquOEDcs,6290273672,西安招才引智平台,西安发布报道西安与陕南三市跨区域网上招聘活动【西安网络招聘会火爆上线线上访问量突破57万人次】为了全力保障企业复工复产，西安市人社局等部门举行网络招聘会，帮助解决企业用工难题。21日，西安与陕南三市跨区域网上招聘活动成功举办。中兴通讯、比亚迪、金花集团、华天科技、蓝晓科技等一大批知名企业线上招聘。金花企业(集团)股份有限公司西安金花制药厂人事经理郭军平对记者介绍，企业已于2月6日复工，但由于很多员工不能及时返回，导致百人左右的用工缺口，生产线没法开全。昨天的网络招聘会一下子收到了近200份简历，效果还是不错的，今天就会把简历进行筛选反馈给部门，然后电话联系符合条件的求职者做进一步沟通。唯一不确定的因素就是因为是药厂，对于员工身体健康条件有要求，目前，体检机构没有开门，可能会影响新员工上岗时间。同样，西安蓝晓科技新材料股份有限公司也正在为工厂复工做着积极的准备工作。蓝晓科技今年计划招聘100人，除了30个生产岗位，其他为销售、研发等岗位。到昨天，已经参加了3场网络招聘会，总共收到100多份简历，公司正在做好各项准备，争取最快时间复工。经统计，截至21日17：00，“西安--陕南三市就业扶贫协作2020年春季跨区域网络视频招聘会”，共有268家企业参加，提供岗位28816个，达成初步就业意向1472人次。截至2月21日，西安市人社局共组织3168家企业开展线上求职招聘活动89场（次），发布岗位信息146716条，线上访问量达574851人（次），达成就业意向22889人（次）。（西安报业全媒体记者顾荣）,,,,,0,0,0,2020-02-22 22:46,华为手机 畅享玩不停,,,
4461096104916082,IpDo6kCTE,2388430493,惠游京城,一、央行公开市场逆回购与中期借贷便利（MLF）齐上阵，净投放4000亿元二、商务部：积极主动扩大进口降低贸易综合成本三、国资委：积极推进混合所有制改革深入推进国企改革的“双百行动”四、证监会债券监管人士：推动交易所债市对外开放和债市互联互通五、工信部公布2019年工业强基工程重点产品等名单六、国资委：目前67家企业已经完成向社保基金划转股权【公告早知道】1.禾丰牧业2019年净利预增103%-108%2.新疆天业重组事项获证监会审核通过16日复牌3.今世缘2019年净利预增20%-30%4.华北制药两药品通过一致性评价5.三鑫医疗2019年度净利润预增30%-50%6.嘉元科技2019年净利预增78%-96%7.信雅达2019年净利预增100%-120%8.世嘉科技2019年度净利润预增85%-135%9.喜临门预计2019年将实现扭亏为盈10.仙坛股份2019年度净利润预增136%-161%11.海鸥股份2019年净利预增47%12.博迈科全资子公司签订1.31亿美元项目合同13.云天化子公司云峰化工增资引入央企扶贫基金14.桐昆股份2019年净利预增32%-41%【热点板块】1.8K版春晚即将亮相超高清概念股“闻风而动”概念股：中视传媒、中威电子、富瀚微、恒信东方、全志科技、韦尔股份2.芯片概念走势活跃概念股：太极实业、华天科技、扬杰科技、诚迈科技、富瀚微、赛腾股份、全志科技、光力科技等【机构动态】北向资金净流入10.44亿元【周四看盘】上证指数：短期均线多头排列，指标为线上拉回找买点走势，逢低介入。60分钟均线纠结，指标修复没有完成，耐心等待均线多头排列时介入。创业板指数：短期均线多头排列，指标为线上拉回找买点走势，逢低介入。60分钟均线纠结，指标修复没有完成，耐心等待均线多头排列时介入。,,,,,0,0,0,2020-01-15 20:34,iPhone客户端,,,
4163862767568786,FqNmsvKZc,5198672477,水晶球财经网,【十九大主题前瞻：强国决胜时刻】总的来说，我们认为十九大“强起来”的关键在产业创新、区域机会和精准扶贫，产业创新关注强国强军的混改主题（首推中航机电）、强国重器5G（首推中兴通讯）、强国之“芯”半导体（首推华天科技），区域机会关注海南（首推海南高速）……详情O网页链接,,,,,10,3,10,2017-10-17 15:35,微博 weibo.com,,,
3977315220662082,DwrjY2MeK,3957042762,陇南两当文体广旅,#陇南旅游扶贫#【华天科技制造二部组织第四批员工参观两当兵变纪念馆】2016年5月19日，天水华天科技制造二部组织第四批员工200余人参观两当兵变纪念馆。O【陇南旅游扶贫】华天科技制造二部组织第四批员工参观两当兵变纪念馆,,,,陇南旅游扶贫,0,0,0,2016-05-20 21:01,微博桌面,,,
3976602100591924,Dw8LM2tZa,3957042762,陇南两当文体广旅,#陇南旅游扶贫#【华天科技制造二部组织第三批员工到两当兵变纪念馆参观学习】O【陇南旅游扶贫】华天科技制造二部组织第三批员工到两当兵变纪念馆参观学习,,,,陇南旅游扶贫,0,0,0,2016-05-18 21:48,微博桌面,,,
3976041259600887,DvUbbEhD1,3957042762,陇南两当文体广旅,#陇南旅游扶贫#【华天科技制造二部组织第二批员工到两当兵变纪念馆参观学习】O【陇南旅游扶贫】华天科技制造二部组织第二批员工到两当兵变纪念馆参观学习,,,,陇南旅游扶贫,0,0,0,2016-05-17 08:39,微博桌面,,,
